Gene,logFC,P.Value,t,adj.P.Val,Significant
SNORD77,-0.4532674890211039,0.014882131057741678,-2.4790209061953448,0.03946914387668263,False
SERP2,-0.23350309147727444,0.014889534065203781,-2.4788321057256346,0.03948551316952446,False
LOC645553,0.30051406201299,0.014892008282682383,2.4787690239554934,0.039488810192465765,False
DUSP9,0.4326125920892858,0.01489345061401538,2.478732255113804,0.039489370666800014,False
IGFLR1,0.4387960871525962,0.014920535170952752,2.478042388965444,0.039557914734228455,False
C22orf25,-0.1443762468993537,0.01492742913129938,-2.477866972937292,0.03957103629749371,False
XLOC_006924,0.2879931073133122,0.014928795306593787,2.477832219367737,0.03957103629749371,False
BIN1,0.17699325975649316,0.014929184922336856,2.477822308614987,0.03957103629749371,False
KANSL2,0.11593763215909192,0.014938202580400435,2.4775929888224653,0.039591286189861546,False
XLOC_000360,-0.4161892865048702,0.01493929299651727,-2.477565267842712,0.039591286189861546,False
XLOC_014104,0.5781918917662334,0.01494786210701956,2.477347483581404,0.039609226528131376,False
PIBF1,0.17779187831818177,0.01494853196932938,2.4773304637124847,0.039609226528131376,False
ABCG8,-0.4398060843360385,0.014952108335743973,-2.477239606897835,0.03961543074088757,False
LY6G5C,0.2771423267402584,0.01495353083298938,2.4772034740666578,0.039615927749797615,False
XLOC_011549,-0.5608320989837665,0.01496564314211963,-2.4768959339666288,0.039644116203674556,False
FOXO3,-0.13936658788960976,0.01496667502986514,-2.476869743899137,0.039644116203674556,False
LOC400548,-0.4074075049318182,0.014967878287372387,-2.476839206381102,0.039644116203674556,False
HERC2P4,0.3107549448019471,0.014970601425615933,2.476770103859094,0.03964805529049444,False
XLOC_011325,0.48453238904707785,0.014985837441155682,2.476383681100196,0.039685130024126984,False
MMD,-0.23307712529707736,0.014993312090259668,-2.4761942341148404,0.039699114858450166,False
XLOC_010706,0.4035400964107132,0.014993593379831116,2.476187106404656,0.039699114858450166,False
TUBGCP4,-0.34253693115259853,0.014999486541768886,-2.476037804685335,0.03970816374483792,False
XLOC_013580,0.550677317199675,0.01499835853609237,2.476066378354163,0.03970816374483792,False
XLOC_012794,0.19573016547564848,0.015018447217187363,2.4755577966105204,0.03975507770668955,False
THUMPD1,-0.17934585897240218,0.015024292186378612,-2.4754099347798157,0.03976398757025211,False
MYBPHL,-0.2545603666412326,0.01502361383705748,-2.475427092534367,0.03976398757025211,False
GNPNAT1,-0.25305636156656064,0.015028520429071726,-2.4753030038000623,0.0397718969942766,False
C20orf123,-0.4583430448944803,0.01503065623330798,-2.475249000184236,0.03977426808253073,False
NFKB2,0.33797412032305196,0.015039912826093368,2.4750150273758926,0.03979548032506394,False
PDZRN3,-0.26208176059902666,0.015045444988392758,-2.47487525602424,0.0398068350703208,False
DYTN,-0.3711299128246779,0.015054522508974634,-2.4746460099328473,0.03982756738313593,False
CCDC144A,0.4471635711201305,0.015058190491453445,2.4745534128050606,0.039833986226257646,False
XLOC_005429,0.20709532886526105,0.015062582626416958,2.4744425611969993,0.03984231948016623,False
XLOC_005480,-0.6085034954188315,0.015075801970014797,-2.474109096997859,0.03987071122820072,False
LOC100506329,-0.5294426421931826,0.015075800301210033,-2.474109139077743,0.03987071122820072,False
XLOC_002851,-0.4871364346201301,0.015086462844382526,-2.4738403618110674,0.039895616853333725,False
EBF3,-0.5160834550243503,0.015092645024470512,-2.4736846015945346,0.03990538633355428,False
ST8SIA6,0.4056508985422087,0.015092489243433066,2.4736885258017653,0.03990538633355428,False
GRAMD1A,-0.43986888038474126,0.015107054316752024,-2.4733217803786376,0.039940193051047054,False
XLOC_l2_010097,0.3311054885551936,0.015111551955637388,2.4732085946880127,0.03994220867898553,False
C1QTNF3,0.2615779186087668,0.015109385479430058,2.473263111557149,0.03994220867898553,False
ECM2,0.47240962057792224,0.015110862385708006,2.4732259461598107,0.03994220867898553,False
CTAGE15P,-0.34187598531168817,0.015127987068772898,-2.4727952515254557,0.039982355014519244,False
EHBP1,0.20619273156493634,0.015166775450179845,2.471821313402219,0.040081568205104987,False
XLOC_012037,0.4717010865535718,0.015169452867427258,2.471754168286185,0.04008534167933002,False
LOC200772,-0.4317117448100647,0.015193723057133715,-2.471145995683859,0.04014616882240751,False
C9orf89,0.1449436198538976,0.015204481991414366,2.4708766716089925,0.04017128827907864,False
FEZF2,0.2983275442499993,0.015214270774684468,2.4706317809236986,0.04019384060379459,False
C16orf62,0.15508046264123454,0.015220020840627992,2.470487994433755,0.04020572040244944,False
IGFBPL1,0.30538463858441567,0.015231620919852454,2.4701980699137365,0.040233050564748185,False
LOC100270804,-0.2310059949058445,0.01525196855006584,-2.469689991489396,0.040283480247498116,False
FAM74A1,-0.5564736201574672,0.015261376595432077,-2.4694552783017194,0.04030501038787034,False
USP1,0.12145950032143027,0.015262772722238733,2.469420458563457,0.04030537939820699,False
KLRK1,-0.4732085500600638,0.015266203307074523,-2.469334911044969,0.040311120428920134,False
MLC1,0.3618004652922089,0.01527475960969378,2.46912161981713,0.0403303940970351,False
PSD,-0.1584644222077891,0.015278820638759329,-2.469020423991891,0.04033779656747587,False
ZNF584,0.3789876723327925,0.015291133483739602,2.4687137500068594,0.040366981744434365,False
LOC257358,0.6608673372175327,0.01530297424510146,2.468419042263921,0.040394915969954315,False
ITPRIP,0.46589999559415496,0.01531025392716691,2.4682379575544364,0.04041080681121561,False
LINC00204B,0.3999550185649339,0.015323648586181397,2.4679049615868593,0.040442833948556085,False
DSCR10,-0.353633585121754,0.015344032596461932,-2.467398706758933,0.04049330089622399,False
XLOC_004276,0.5223004884204543,0.015356905839096846,2.467079298050673,0.04052394006072443,False
CD99,0.4049930641931816,0.015373633727140618,2.466664605862644,0.04056140883022215,False
DDX46,-0.2186067271055201,0.015372781084696956,-2.4666857335123717,0.04056140883022215,False
XLOC_002937,0.5627023272564937,0.015389905286465867,2.4662616130190416,0.04060100013074219,False
PRO2012,-0.3284711549772714,0.015395972632569315,-2.466111442335229,0.04061366680806049,False
XLOC_008534,0.6054080719366886,0.01539956102028154,2.466022652340022,0.040619792594197644,False
OR5M9,0.600746373045455,0.01540094294074465,2.4659884634437352,0.04062009779980994,False
MPP3,-0.2505104600211032,0.015403534018425114,-2.46592436722561,0.04062359185391957,False
SSBP1,-0.1542169911168827,0.015411371047868683,-2.465730559051037,0.04063757876176454,False
XLOC_002124,0.5661643587840914,0.015410412244322795,2.465754265342177,0.04063757876176454,False
GABARAPL2,-0.21389605295454395,0.015413372442231066,-2.4656810790863584,0.04063951573492008,False
XLOC_005290,0.24715575425811753,0.015417370989357965,2.4655822412131974,0.040646717729997,False
XLOC_006690,-0.4785692390746754,0.015424065223030267,-2.4654168214243555,0.04066102492849132,False
C15orf57,-0.5380996031282459,0.015433275425013299,-2.4651893349052534,0.04068196184342043,False
SLC26A2,0.3418882058977246,0.015444986426516722,2.4649002552598707,0.040709486859145216,False
C20orf166-AS1,0.49653349911363653,0.015460381933135366,2.46452052348547,0.04074671807549972,False
XLOC_003026,0.4712925905551941,0.015463460431265343,2.4644446325496827,0.04075148366343483,False
LOC646736,0.5292280038717534,0.015470699611863417,2.464266225927141,0.04076721238283049,False
XLOC_010664,0.856893478237013,0.015482376030853414,2.4639786225262044,0.04079463023160391,False
LOC100133299,-0.24959846106168904,0.015492866818365496,-2.463720387813918,0.04081891980397217,False
SNORD45C,0.47258261077759744,0.01550397022213027,2.463447243459257,0.04084481930902021,False
CRISP2,0.41022738432792183,0.015522760564375338,2.462985397911426,0.040890963943600006,False
FGF21,0.5441157503246754,0.015531559498850548,2.462769301662212,0.040910783210700845,False
ZNF507,-0.27169557405032485,0.015541902781456833,-2.46251541701977,0.04093466676758089,False
LOC387720,0.4990284475389597,0.015552442697762072,2.4622568610795263,0.040959064259437426,False
XLOC_l2_001967,0.20651017999675325,0.015566248349051084,2.461918429725296,0.040992057711177046,False
XLOC_l2_013131,-0.22532557811201315,0.015585182858172397,-2.4614547055219194,0.04103855093902738,False
ABHD1,0.310992802943181,0.015591205582926575,2.4613073087497046,0.0410510403069833,False
XLOC_013877,0.4551863488538963,0.015600364771049466,2.461083249408401,0.04107178513379293,False
LINC00478,0.19503172517370082,0.015605973742489267,2.4609460963019765,0.041080752595523254,False
XLOC_l2_011803,0.441835924709415,0.015606332041198313,2.4609373365163343,0.041080752595523254,False
GTPBP5,0.15087699126461107,0.01560775156006831,2.460902633493329,0.041081118316950396,False
LOC100507419,-0.4222550430974028,0.015611962514073412,-2.4607997047520707,0.04108883070403438,False
LOC100506465,-0.36281388746103893,0.015616352508155913,-2.460692426119159,0.04109701299931433,False
CDK12,-0.32347336090746825,0.015620566833301734,-2.4605894656637193,0.041104731688320864,False
PHKA1,0.33021245749675376,0.015635443158011682,2.460226219479182,0.0411405033225898,False
XLOC_007494,-0.4265960715340906,0.015641982658746178,-2.4600666373479494,0.04115433475703907,False
GTPBP10,-0.29531270002922216,0.01564471421300134,-2.459999997419811,0.041158145969582005,False
HMGA2,-0.3048342927743519,0.015648604661157937,-2.459905102662053,0.0411650051275069,False
CD300LF,0.47842788706006534,0.015652009080864455,2.459822080266213,0.04117058472565856,False
NOP56,-0.15336888978896113,0.015656906495805284,-2.4597026770041204,0.041180090217712025,False
XLOC_010568,0.5140572975178577,0.015660148526187117,2.4596236518174077,0.04118524059026748,False
LZTR1,0.1392389426558429,0.015667477334117542,2.4594450643921975,0.04120113721440206,False
EIF2C2,0.16788731713961091,0.015672474327318085,2.4593233410991715,0.04121089970658722,False
NEK4,0.1376070879350646,0.015676503513371638,2.4592252181602605,0.041218115950246874,False
GRIN3B,-0.45356931437013026,0.015682201493551155,-2.4590864934535395,0.041229718399698495,False
AMN,0.26351963387175203,0.015691163049146858,2.4588684038350657,0.04124989843617399,False
C15orf29,-0.31024614986363463,0.01569497784633731,-2.4587756001763683,0.041256546157858155,False
SLC7A6OS,0.17084733898701288,0.015699456160411004,2.458666680658082,0.041264936798523964,False
XLOC_004270,0.5282676100275969,0.015710093582146797,2.4584080733259785,0.04128951352738565,False
TMED3,-0.19901066575162396,0.015724139397726884,-2.458066843704461,0.041323043489725444,False
PTGES,0.5087537062938314,0.015726259512816376,2.458015361190335,0.0413252297813851,False
FAM204A,-0.15007982081655946,0.015758483745807083,-2.4572336259385588,0.04140651638672219,False
AZU1,-0.4970732142759742,0.015762904535899618,-2.4571264923363265,0.0414147401729451,False
XLOC_003509,-0.6662965958717528,0.01578703420493546,-2.4565422054815755,0.041474740585892185,False
SDCBP,0.1293673935957802,0.015860626888797035,2.4547651106311124,0.0416612552683705,False
XLOC_007107,0.5065766622500001,0.01585985163761216,2.4547837927656984,0.0416612552683705,False
UMPS,-0.17708851682792215,0.01586338141706859,-2.4546987381359933,0.0416650790780711,False
ARL6IP4,-0.08525071435065179,0.015874926770089146,-2.4544206558089283,0.0416885765213212,False
ZNF818P,0.34744286140584446,0.015874547740388913,2.4544297822823826,0.0416885765213212,False
CTDP1,0.13265068207792208,0.015877219790748864,2.454365447418211,0.04169118530631281,False
XLOC_l2_015542,-0.18876672173052,0.01588024406220043,-2.454292643800602,0.04169321067017265,False
GPN1,-0.18506323782142786,0.015880590435749364,-2.454284306302377,0.04169321067017265,False
