Gene,Importance
SCN3B,0.0020476645942930022
ODZ2,0.002014231217344961
CRYAB,0.002
XLOC_010585,0.0019400093688139383
FLJ31104,0.0019309377365576202
LOC728052,0.0018861100351994131
RNASET2,0.0018422247188349021
CCR5,0.0018215152233161155
LOC647070,0.0017639273746921135
SHCBP1L,0.0017611144404448215
TIMM50,0.001688340860067615
C14orf79,0.0016680452164323134
GSTZ1,0.0016654026976607623
XLOC_005957,0.0016375990420655435
XLOC_l2_011798,0.0016194083694083693
NPNT,0.0016094114219114219
LAMB2P1,0.0016020913391456685
ZSCAN1,0.0015939208906081837
LOC100131096,0.0015906432748538013
DEM1,0.00158974358974359
KCNB2,0.001577299334652276
ANXA8L2,0.0015759747954291784
TGFBI,0.001574119574119574
ATP5S,0.0015731477898176813
COMMD1,0.0015583057445273001
C4A,0.0015580214556489321
TGIF1,0.0015444438663062146
XLOC_001257,0.0015404420754071104
SCIN,0.0015097871121889988
FCGBP,0.0014878511294490289
RGS7,0.0014868035190615835
ARMCX4,0.0014810318339730105
CFD,0.001478718975872676
BOLA3,0.001478718975872676
TSC22D4,0.0014681882839777576
XLOC_005244,0.0014681882839777576
RBM39,0.0014590508543996916
ANKRA2,0.0014583683767872163
SLAMF8,0.001454463378210333
RHOA,0.0014402883937767656
TTC8,0.0014305291574522342
DDX54,0.0014243155659733077
FRS3,0.001418282548476454
XLOC_001219,0.0014166666666666666
XLOC_013436,0.0014146341463414636
DDX28,0.0014146341463414636
LOC283089,0.0014089623522505936
SYCE1,0.0014034090909090908
CCDC99,0.0014034090909090908
ASTE1,0.0014034090909090908
MGST2,0.0014011208325724455
LRRK2,0.0014003700277520814
NOC4L,0.001394799795411027
FBXL22,0.001385907813157603
ZNF652,0.001382149353840942
CDK16,0.0013818530701754385
KIAA1644,0.0013818530701754383
LOC100129936,0.0013768242630458184
CLIP3,0.0013738742125838901
DPP9,0.00137387421258389
FOXO4,0.0013706140350877192
GIMAP2,0.0013706140350877192
TMEM68,0.0013650793650793651
ATP9B,0.0013559125173920456
CACNG7,0.001352868936514144
GEM,0.0013473193473193474
LOC100507165,0.001341919889963878
NDUFA9,0.0013387314439946018
SERPINH1,0.0013378378378378379
RNF165,0.0013360433604336047
ENPP5,0.0013360433604336045
IQSEC2,0.001335058097312999
NT5M,0.0013333333333333333
LOC399715,0.0013296853625170996
GRIA3,0.0013269230769230769
NUBP1,0.001325068870523416
RBM45,0.0013095823095823093
UNC5B,0.001303720927675808
CA2,0.001300266175266175
GNPTAB,0.0012997542997542995
LOC100286925,0.0012959770114942528
AP3S1,0.0012904937022584083
CCDC115,0.0012904937022584083
SNORD116-6,0.0012894736842105263
PSMA3,0.0012886104796774774
STX12,0.0012874249230985476
CDC37L1,0.0012843297843297843
C4orf34,0.0012836389462809916
TNIP2,0.0012813333333333335
LOC100270746,0.0012801613474392457
XLOC_006948,0.0012801613474392457
USP21,0.0012794161534496324
SMCR6,0.0012780189190654307
XLOC_004308,0.0012779052976421396
SAMD14,0.0012748828232699199
NMT2,0.0012747377127682732
CCDC88B,0.0012704714640198514
LOC100127909,0.001270471464019851
LOC100289361,0.001269126993448699
KIAA0090,0.0012631578947368423
MACF1,0.0012631578947368423
CDK2AP2,0.0012631578947368423
LOC100506342,0.001263028060437866
HILPDA,0.001263028060437866
BLOC1S2,0.0012617007251153592
MARCH4,0.0012609351432880847
SNORA10,0.0012607938739141434
MCM6,0.001259259259259259
C5orf55,0.0012584805158396414
C7orf52,0.0012584805158396414
OLFM4,0.0012558139534883722
CAMLG,0.0012527472527472526
