GeneSymbol,logFC,P.Value,adj.P.Val
GEM,0.4348909888612205,7.404759619694564e-68,2.164787970220881e-65
ZFP36L1,0.34129818155776,1.5447460993956605e-67,4.151878871020853e-65
LOC284214,-0.34887931122703925,5.128129213831823e-67,1.3146945418352846e-64
GPRASP1,-0.32219638481914936,2.42525780042917e-66,5.857173331355316e-64
CAP2,-0.4056593802286008,2.703906174579467e-66,6.436841784741749e-64
RGS4,-0.4640342148085679,2.907368093551052e-66,6.823715762103484e-64
EMP3,0.30487235838635707,9.539661531920142e-66,2.091696312735753e-63
HPRT1,-0.33259961463670845,1.1590904462775964e-65,2.4449472400974516e-63
ACTR3B,-0.31804531613784875,3.892496005370934e-65,7.91031139432942e-63
NUPR1,0.4712473774890035,5.47975837899431e-65,1.1001770316573637e-62
RBP4,-0.32853636221073157,9.720476065437766e-65,1.883511780865755e-62
OLFM3,-0.4390667757244504,1.095924507653461e-64,2.0519647185996937e-62
SLC10A4,-0.35654337378072737,1.128175644952654e-64,2.0888798830545584e-62
SLC32A1,-0.5140978702075611,1.1471480362433284e-64,2.100667568786684e-62
PRMT8,-0.31105170392069037,1.2103605357881483e-64,2.192331300910185e-62
ATOH8,0.3921284645780152,8.955830352274147e-64,1.39476595318034e-61
VIP,-0.5899392206350935,9.232574680854369e-64,1.404733433267188e-61
EGR3,-0.3469790173431683,1.8846872820435084e-63,2.8041454346404483e-61
SLCO4A1,0.5625746955652455,6.082457154602779e-63,8.663082566179549e-61
CHGB,-0.5314559234583317,7.608765452026604e-63,1.074512436377723e-60
TAC1,-0.5385481035252585,9.83927018847995e-63,1.3550545324035528e-60
DLX1,-0.33700229742050547,1.2068532528074075e-62,1.6218550487727934e-60
SLN,-0.5431064375684199,1.5710247092177227e-62,2.0613823428664668e-60
BCL6,0.3049415497411805,1.708313777954719e-62,2.189795445833649e-60
IGF1,-0.36997882553608386,1.7535052170829573e-62,2.2305657204175877e-60
C6orf105,-0.3779607658166016,4.23598601181424e-62,4.9019771458939234e-60
TNFRSF10D,0.36082249919632614,4.305568632918636e-62,4.9481376344107693e-60
KHDRBS2,-0.38702925179048697,2.0846539728688233e-61,2.269502548939319e-59
LOC389073,-0.34302522158891924,2.2670400494694797e-61,2.4372874441522204e-59
ANKRD56,-0.4180046625072324,9.144697685250868e-61,9.016996581480502e-59
ATRNL1,-0.3013567892341894,1.2305482785833823e-60,1.1853096251048255e-58
NMS,-0.4690528365592562,1.8507502928466677e-60,1.6945551032965313e-58
FLJ36032,-0.3190855680877953,1.932109140435696e-60,1.7498188432728502e-58
GAD2,-0.4018624493573146,2.1502304775386315e-60,1.92642154181203e-58
SCN3B,-0.45146054211391,2.587378979372191e-60,2.2934086868222443e-58
ARPP-19,-0.4561883032060407,4.0766917270798706e-60,3.5017521103123175e-58
ADCYAP1,-0.49593164085274294,4.1890968476977524e-60,3.579851788206941e-58
C4A,0.5614490835517361,4.9326385785540846e-60,4.109874463651263e-58
KLF15,0.40152512251010886,7.40953647264499e-60,5.907775874648617e-58
PRELP,0.3969621404702691,7.750361446868333e-60,6.1217366213086475e-58
BEX1,-0.31687881343204605,8.141326398339023e-60,6.36934568553622e-58
LPPR4,-0.33149202637096775,1.1169156533837817e-59,8.656875557203414e-58
KRT5,-0.38499255275522914,1.3808393531627395e-59,1.0523089442142499e-57
C1orf78,0.3000489346005547,1.3829552255336096e-59,1.0523089442142499e-57
LOC647509,-0.3076874689282905,1.522408690017877e-59,1.153155382293541e-57
C4B,0.5433400870488442,1.6056980556363245e-59,1.1998812735033054e-57
NRSN1,-0.36284664997310456,1.7137458638962812e-59,1.2749045123199836e-57
SCG5,-0.33957514118839327,2.183021972509724e-59,1.6025496982335704e-57
VSIG4,0.4233793360180871,2.813353044067465e-59,2.0383354402756625e-57
ATCAY,-0.3233423454476474,4.058416390561812e-59,2.890147467193249e-57
ATP8A2,-0.3358450941210438,5.256066722681723e-59,3.71131762147323e-57
SST,-0.6040149211607766,7.744637437304037e-59,5.332918936166714e-57
HSD11B2,0.3782527198215492,7.902721718814416e-59,5.419380852770512e-57
C1orf162,0.38141794219810976,9.153767719357879e-59,6.150741341749181e-57
TUBB2A,-0.31021593133689424,9.209385200425297e-59,6.163260842565748e-57
SERPINI1,-0.376436974438646,1.7157085500678035e-58,1.103882906499223e-56
S100A4,0.42028861208547974,2.64655213928674e-58,1.6705357897376605e-56
NETO2,-0.321286914596918,3.377508181989477e-58,2.1079699005495374e-56
CLEC2B,0.38685749464436003,5.538190610191267e-58,3.3681900849717977e-56
CDH13,-0.3395440678605774,7.18818536348507e-58,4.293330498104488e-56
MS4A6A,0.3444588963552219,8.921195440738228e-58,5.25310250263116e-56
PCDH8,-0.4358297392090816,9.547787473854055e-58,5.582608086466806e-56
MAFF,0.4734917450855166,3.054774190107246e-57,1.6368089100947637e-55
FKBP5,0.5887546885057531,3.2069656901355873e-57,1.7128485980903664e-55
TNFRSF10B,0.30876164122090716,5.861393318062825e-57,3.0523205703812164e-55
LRRTM1,-0.3098630496528046,6.897138281166607e-57,3.5583254587418065e-55
GOT1,-0.35430109434907175,7.602086053917538e-57,3.897881907768673e-55
ROBO2,-0.3079091897902404,9.215713865181803e-57,4.68203219053017e-55
GPR158,-0.4384739191854181,1.05778283860443e-56,5.3253453844423624e-55
ELMOD1,-0.3887521985540168,1.4870122045900058e-56,7.331234135292265e-55
ADH1B,0.48094188510485414,1.5860278796576222e-56,7.745890029720608e-55
KIAA1467,-0.3279473383991987,1.8645425125156708e-56,9.032190822256145e-55
SNAP25,-0.37605571972360546,4.170550230027672e-56,1.9521923885725034e-54
ANGPT2,0.4145016754282515,4.319288349329485e-56,2.014079311138183e-54
CIRBP,-0.3110161061016314,4.735558933597499e-56,2.1859654866888843e-54
SPG3A,-0.3450336266468194,5.795014460131147e-56,2.6245099737084654e-54
LOC201229,-0.3197918500441134,5.945166738008159e-56,2.684830854259294e-54
LOC399947,-0.33337189432001235,6.577024546363151e-56,2.938325389828299e-54
MCPH1,0.4951821620839264,7.221829080667899e-56,3.192163389927052e-54
CFHR1,0.4225860049656153,1.155836377502334e-55,4.9641385037883744e-54
RTN1,-0.4128339896480563,1.2494124069675484e-55,5.338514961463391e-54
MLLT11,-0.30835310872097804,1.4408726692556707e-55,6.140844542321355e-54
NLK,-0.3350945233340867,1.4588657388392873e-55,6.20166802857599e-54
PCP4,-0.34638935249867886,1.483682931470185e-55,6.291117651404367e-54
C20orf103,-0.3786375169326484,1.8606852823368883e-55,7.849736593635925e-54
TNFRSF11B,0.5773599200559072,1.975271234849989e-55,8.291163692075621e-54
A2BP1,-0.36419651436883094,2.4268606327590244e-55,1.0060001389128454e-53
CFH,0.44790330532307376,2.9706765552337296e-55,1.2253305474360116e-53
LDB2,-0.37003352400678036,3.682746834445658e-55,1.5041493443431972e-53
STYK1,-0.41430443991115884,8.341437935648167e-55,3.293879662550736e-53
CDH8,-0.3481745380701664,1.0036588616023316e-54,3.9260495938359753e-53
LRRC32,0.32841430017314976,1.080476612301661e-54,4.216642217188496e-53
CORT,-0.3183852523781796,1.0911979339793173e-54,4.248533264446576e-53
DCLK1,-0.39283099766517365,1.2168016464406844e-54,4.715530845648271e-53
C20orf54,0.3943026389220464,1.3732033949060804e-54,5.309294982068428e-53
NYD-SP21,0.3149227026100062,1.7596344528851662e-54,6.740815752385841e-53
SNCA,-0.3074413814767757,2.2854958370198208e-54,8.597178922821286e-53
NEK2,-0.3315774496648449,2.3270956108995236e-54,8.73394622973641e-53
CFI,0.3460063069273269,2.813340013513852e-54,1.0441313582448738e-52
C1S,0.36264226633866453,5.307493122645136e-54,1.931093130911759e-52
FGF12,-0.4510321350614866,7.709569141465371e-54,2.762844304803848e-52
MOAP1,-0.3180370719485309,9.274223399421928e-54,3.288205504850362e-52
RHBDF2,0.42204175033899727,1.441323889386275e-53,4.952210575821214e-52
PHYHD1,0.30038371451357304,1.455586523265848e-53,4.990924655082735e-52
FAM84A,-0.3956592965747689,1.8199376741802878e-53,6.1641141062073815e-52
TNFRSF1A,0.3258471312569211,2.0114422192462753e-53,6.785156506380553e-52
UCHL1,-0.4237493292038422,2.1694813442913877e-53,7.288757484127356e-52
DUSP4,-0.45258504227935065,2.235284812971465e-53,7.49472557814014e-52
TBC1D9,-0.3452225303029936,4.9304727134887065e-53,1.601586691960542e-51
KCNK1,-0.3544007774465174,6.061687781568037e-53,1.9538097716063785e-51
CNKSR2,-0.3564367637666119,6.635901716291999e-53,2.1265512730824976e-51
CREG2,-0.3928848045033285,9.372147391599084e-53,2.9579065176819535e-51
FAM3C,-0.3138303231524512,9.46316498428116e-53,2.975361911284175e-51
TMEM155,-0.3101026680046538,9.5358324625504e-53,2.9925633174376624e-51
RAB13,0.30188732156637393,9.774288617556072e-53,3.0616305549427513e-51
AEBP1,0.4270879475570105,1.048897709499706e-52,3.2731894065736147e-51
VSNL1,-0.30959358652364904,2.537802989311511e-52,7.73125210491536e-51
NEFL,-0.519060198543908,3.489432714681763e-52,1.0439480566868383e-50
